,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,yyyy,mm,dd,week_relative,week_absolute,Date
0,1,1453330,0,71.89,2.603,211.672,7.838,2010,1,9,0,1,1/9/2010
1,1,1475920,0,71.815,2.626,211.509,7.828,2010,1,15,1,2,1/15/2010
2,1,1498511,0,71.74,2.649,211.347,7.818,2010,1,22,2,3,1/22/2010
3,1,1521102,0,71.665,2.671,211.184,7.808,2010,1,29,3,4,1/29/2010
4,1,1543693,0,71.59,2.694,211.022,7.797,2010,2,5,4,5,2/5/2010
5,1,1577831,0,55.76,2.604,211.156,7.952,2010,2,12,5,6,2/12/2010
6,1,1611968,0,39.93,2.514,211.289,8.106,2010,2,19,6,7,2/19/2010
7,1,1409728,0,46.63,2.561,211.32,8.106,2010,2,26,7,8,2/26/2010
8,1,1476913,0,55.935,2.602,211.444,7.959,2010,3,5,8,9,3/5/2010
9,1,1544099,0,65.24,2.642,211.569,7.812,2010,3,11,9,10,3/11/2010
10,1,1472516,0,54.58,2.72,211.216,8.106,2010,3,19,10,11,3/19/2010
11,1,1404430,0,51.45,2.732,211.018,8.106,2010,3,26,11,12,3/26/2010
12,1,1509977,0,66.07,2.718,211.097,7.957,2010,4,2,12,13,4/2/2010
13,1,1615525,0,80.69,2.705,211.176,7.808,2010,4,7,13,14,4/7/2010
14,1,1466058,0,66.32,2.808,210.489,7.808,2010,4,16,14,15,4/16/2010
15,1,1391256,0,64.84,2.795,210.439,7.808,2010,4,23,15,16,4/23/2010
16,1,1534396,0,54.86,2.676,210.743,7.957,2010,4,20,16,17,4/20/2010
17,1,1554807,0,46.5,2.625,211.35,8.106,2010,5,5,17,18,5/5/2010
18,1,1522955,0,66.76,2.772,211.147,7.823,2010,5,13,18,19,5/13/2010
19,1,1399662,0,76.44,2.826,210.617,7.808,2010,5,21,19,20,5/21/2010
20,1,1432070,0,80.44,2.759,210.897,7.808,2010,5,28,20,21,5/28/2010
21,1,1518781,0,83.8,2.693,211.201,7.797,2010,6,4,21,22,6/4/2010
22,1,1605492,0,87.16,2.627,211.505,7.787,2010,6,9,22,23,6/9/2010
23,1,1503284,0,84.11,2.637,211.454,7.808,2010,6,18,23,24,6/18/2010
24,1,1422712,0,84.34,2.653,211.339,7.808,2010,6,25,24,25,6/25/2010
25,1,1513333,0,78.445,2.744,210.839,7.808,2010,7,2,25,26,7/2/2010
26,1,1603955,0,72.55,2.835,210.34,7.808,2010,7,7,26,27,7/7/2010
27,1,1448939,0,83.15,2.623,211.1,7.787,2010,7,16,27,28,7/16/2010
28,1,1385065,0,83.36,2.608,211.235,7.787,2010,7,23,28,29,7/23/2010
29,1,1371987,0,81.84,2.64,211.37,7.787,2010,7,30,29,30,7/30/2010
30,1,1440113,0,78.652,2.651,211.531,7.8,2010,8,6,30,31,8/6/2010
31,1,1508239,0,75.465,2.662,211.693,7.812,2010,8,12,31,32,8/12/2010
32,1,1513080,0,86.65,2.664,211.603,7.787,2010,8,20,32,33,8/20/2010
33,1,1449143,0,85.22,2.619,211.567,7.787,2010,8,27,33,34,8/27/2010
34,1,1545419,0,65.86,2.77,210.623,7.808,2010,9,3,34,35,9/3/2010
